,0
918,1.541054e-09
919,-8.881642e-10
920,-2.153806e-10
921,1.171006e-09
922,-1.356477e-09
923,-2.664173e-10
924,1.761473e-09
925,-1.440946e-09
926,3.567151e-10
927,-2.623658e-11
928,1.107453e-11
929,1.300331e-09
930,-7.886527e-10
931,-3.702666e-10
932,1.420593e-09
933,-3.617468e-10
934,-1.736171e-09
935,-6.025850e-11
936,1.689713e-09
937,7.902285e-12
938,-1.488338e-10
939,-1.686272e-09
940,9.005696e-10
941,-2.269247e-11
942,-4.884448e-10
943,0.000000e+00
944,2.276913e-04
945,1.234675e-09
946,-2.128230e-09
947,3.794444e-10
